name,playcount,listeners,mbid,url,streamable,tags
Yeah Yeah Yeahs,91175524,2641188,584c04d2-4acc-491b-8a0a-e63133f4bfc4,https://www.last.fm/music/Yeah+Yeah+Yeahs,0,"indie, indie rock, female vocalists"
Queens of the Stone Age,154306701,2638442,7dc8f5bd-9d0b-4087-9f73-dc164950bbd8,https://www.last.fm/music/Queens+of+the+Stone+Age,0,"Stoner Rock, rock, alternative rock"
Elvis Presley,79190464,2637978,01809552-4f87-45b0-afff-2c6f0730a3be,https://www.last.fm/music/Elvis+Presley,0,"rock n roll, classic rock, rock"
3 Doors Down,61669750,2635486,2386cd66-e923-4e8e-bf14-2eebe2e9b973,https://www.last.fm/music/3+Doors+Down,0,"rock, alternative rock, alternative"
Florence + the Machine,187255441,2635249,5fee3020-513b-48c2-b1f7-4681b01db0c6,https://www.last.fm/music/Florence+%252B+the+Machine,0,"indie, female vocalists, british"
My Chemical Romance,150041258,2628969,c07f0676-9143-4217-8a9f-4c26bd636f13,https://www.last.fm/music/My+Chemical+Romance,0,"rock, emo, alternative"
Shakira,78952583,2615693,bf24ca37-25f4-4e34-9aec-460b94364cfc,https://www.last.fm/music/Shakira,0,"pop, latin, female vocalists"
Bloc Party,110804760,2611905,8c538f11-c141-4588-8ecb-931083524186,https://www.last.fm/music/Bloc+Party,0,"indie, indie rock, seen live"
Papa Roach,84263502,2598695,c5eb9407-caeb-4303-b383-6929aa94021c,https://www.last.fm/music/Papa+Roach,0,"rock, Nu Metal, alternative rock"
Alicia Keys,56722473,2569061,8ef1df30-ae4f-4dbd-9351-1a32b208a01e,https://www.last.fm/music/Alicia+Keys,0,"soul, rnb, female vocalists"
Bon Jovi,70336607,2567424,5dcdb5eb-cb72-4e6e-9e63-b7bace604965,https://www.last.fm/music/Bon+Jovi,0,"rock, hard rock, classic rock"
Creedence Clearwater Revival,66524707,2564494,44c48a1b-defd-4222-bee6-03f9ee9a7be9,https://www.last.fm/music/Creedence+Clearwater+Revival,0,"classic rock, rock, Southern Rock"
Eric Clapton,55537339,2563825,618b6900-0618-4f1e-b835-bccb17f84294,https://www.last.fm/music/Eric+Clapton,0,"classic rock, blues, rock"
T.I.,34494752,2560170,f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62,https://www.last.fm/music/T.I.,0,"Hip-Hop, rap, Dirty South"
The Clash,91087460,2557375,8f92558c-2baa-4758-8c38-615519e9deda,https://www.last.fm/music/The+Clash,0,"punk, punk rock, british"
Calvin Harris,86670501,2554740,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,https://www.last.fm/music/Calvin+Harris,0,"electronic, dance, electro"
The Smiths,181598629,2549139,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27,https://www.last.fm/music/The+Smiths,0,"indie, 80s, post-punk"
Keane,71527524,2548955,c7020c6d-cae9-4db3-92a7-e5c561cbad50,https://www.last.fm/music/Keane,0,"britpop, indie, alternative"
Simon & Garfunkel,69959264,2544616,5d02f264-e225-41ff-83f7-d9b1f0b1874a,https://www.last.fm/music/Simon+&+Garfunkel,0,"folk, classic rock, singer-songwriter"
Pixies,112956384,2541895,b6b2bb8d-54a9-491f-9607-7b546023b433,https://www.last.fm/music/Pixies,0,"alternative, indie, rock"
OneRepublic,70671268,2535562,c33c2065-b1c3-4406-b066-d33a9e2ea71a,https://www.last.fm/music/OneRepublic,0,"rock, pop rock, alternative"
Panic! at the Disco,133895061,2532895,b9472588-93f3-4922-a1a2-74082cdf9ce8,https://www.last.fm/music/Panic%21+at+the+Disco,0,"rock, alternative, emo"
Evanescence,110004287,2530937,f4a31f0a-51dd-4fa7-986d-3095c40c5ed9,https://www.last.fm/music/Evanescence,0,"rock, Gothic Rock, female vocalists"
Dr. Dre,44372346,2529444,5f6ab597-f57a-40da-be9e-adad48708203,https://www.last.fm/music/Dr.+Dre,0,"Hip-Hop, rap, Gangsta Rap"
Kasabian,87570769,2526682,69b39eab-6577-46a4-a9f5-817839092033,https://www.last.fm/music/Kasabian,0,"indie, indie rock, british"
Slipknot,145452562,2516666,ceb7b6be-1dbb-4d80-b157-5588bc884764,https://www.last.fm/music/Slipknot,0,"Nu Metal, metal, heavy metal"
Modest Mouse,131832242,2516665,a96ac800-bfcb-412a-8a63-0a98df600700,https://www.last.fm/music/Modest+Mouse,0,"indie, indie rock, alternative"
The Police,50874751,2511644,9e0e2b01-41db-4008-bd8b-988977d6019a,https://www.last.fm/music/The+Police,0,"rock, classic rock, 80s"
